Name,Made,Fuel Type,Mileage,Gearbox,Engine,Power,Location,Price
Mercedes-Benz E 280 W211,2006-01,Dyzelinas,2 795 487 km,Automatinė,3.0,140,"Vilnius, Lietuva",4 600 €
Audi A4,2009-07,Benzinas,266 284 km,Mechaninė,1.8,118,"Vilnius, Lietuva",4 600 €
Mercedes-Benz E 350 4x4,2006-10,Benzinas,200 000 km,Automatinė,3.5,200,"Jurbarkas, Lietuva",4 650 €
BMW 530 d,2006-11,Dyzelinas,268 000 km,Automatinė,3.0,170,"Kaunas, Lietuva",4 650 €
Toyota Avensis III D-4D Sol plus,2009-11,Dyzelinas,298 000 km,Mechaninė,2.0,93,"Kaunas, Lietuva",4 650 €
Renault Scenic,2012-12,Dyzelinas,202 000 km,Mechaninė,1.5,81,"Kaunas, Lietuva",4 650 €
Skoda Octavia II,2009-11,Dyzelinas,211 000 km,Automatinė,2.0,103,"Kaunas, Lietuva",4 650 €
Volvo XC70,2007-04,Dyzelinas,,Mechaninė,2.4,120,"Vilnius, Lietuva",4 650 €
Peugeot 5008 HDi,2010-10,Dyzelinas,244 050 km,Mechaninė,1.6,80,"Utena, Lietuva",4 650 €
Chevrolet Captiva,2009-03,Dyzelinas,291 442 km,Mechaninė,2.0,110,"Kretinga, Lietuva",4 650 €
Opel Insignia,2009-11,Dyzelinas,283 453 km,Automatinė,2.0,96,"Kretinga, Lietuva",4 650 €
Skoda Octavia II TDI Elegance,2011-11,Dyzelinas,328 001 km,Mechaninė,1.6,77,"Širvintos, Lietuva",4 650 €
Volkswagen Golf Plus,2010-06,Benzinas,,Mechaninė,1.2,77,"Marijampolė, Lietuva",4 650 €
Mazda B2500,2003-01,Dyzelinas,,Mechaninė,2.5,80,"Jurbarkas, Lietuva",4 650 €
Citroen C-Crosser HDi Exclusive,2009-04,Dyzelinas,280 000 km,Mechaninė,2.2,115,"Utena, Lietuva",4 650 €
Fiat 500L,2014-03,Benzinas,237 000 km,Mechaninė,1.4,,"Kretinga, Lietuva",4 650 €
Audi A6,2006-05,Dyzelinas,263 000 km,Automatinė,2.0,103,"Panevėžys, Lietuva",4 650 €
BMW 316 E90 d Touring,2010-06,Dyzelinas,,Mechaninė,2.0,85,"Šiauliai, Lietuva",4 650 €
Volkswagen Cross Touran,2008-07,Dyzelinas,303 000 km,Automatinė,2.0,103,"Prienai, Lietuva",4 650 €
Mitsubishi Pajero,2003-01,Dyzelinas,263 000 km,Mechaninė,2.5,85,"Prienai, Lietuva",4 650 €
Volkswagen Touareg R5 TDI,2004-01,Dyzelinas,,Mechaninė,2.5,150,"Prienai, Lietuva",4 650 €
Toyota Verso,2010-03,Dyzelinas,239 211 km,Mechaninė,2.0,93,"Radviliškis, Lietuva",4 650 €
Peugeot 308,2011-08,Benzinas,93 265 km,Automatinė,1.6,88,"Vilnius, Lietuva",4 680 €
Opel Insignia CDTI Cosmo aut,2010-04,Dyzelinas,354 696 km,Automatinė,2.0,118,"Marijampolė, Lietuva",4 690 €
Skoda Octavia II TDI RS,2007-07,Dyzelinas,268 000 km,Mechaninė,2.0,125,"Kaunas, Lietuva",4 700 €
Toyota Verso,2011-01,Dyzelinas,224 797 km,Mechaninė,2.0,93,"Šiauliai, Lietuva",4 700 €
Hyundai i40 GDI Comfort,2011-09,Benzinas,225 000 km,Mechaninė,1.6,99,"Ukmergė, Lietuva",4 700 €
Seat Altea XL,2009-12,Dyzelinas,182 793 km,Mechaninė,2.0,125,"Kelmė, Lietuva",4 700 €
Peugeot Partner,2011-03,Dyzelinas,150 000 km,Mechaninė,1.6,82,"Kaunas, Lietuva",4 700 €
Audi A3,2006-03,Dyzelinas,261 000 km,Automatinė,2.0,103,"Ignalina, Lietuva",4 700 €
Land Rover Range Rover Vogue,2002-07,Dyzelinas,264 974 km,Automatinė,3.0,130,"Klaipėda, Lietuva",4 700 €
Opel Vivaro,2009-03,Dyzelinas,292 000 km,Mechaninė,2.5,107,"Kaunas, Lietuva",4 700 €
Hyundai i20,2015-09,Benzinas,167 000 km,Mechaninė,1.4,74,"Marijampolė, Lietuva",4 700 €
BMW 525 d Touring,2008-09,Dyzelinas,301 255 km,Automatinė,3.0,145,"Kaunas, Lietuva",4 700 €
Ford C-MAX,2018-10,Dyzelinas,203 147 km,Automatinė,1.5,88,"Kaunas, Lietuva",4 700 € + mokesčiai
Volkswagen Caddy Maxi,2011-07,Dyzelinas,,Mechaninė,1.6,75,"Kaišiadorys, Lietuva",4 700 €
Toyota Avensis III,2009-11,Dyzelinas,242 000 km,Mechaninė,2.0,93,"Šiauliai, Lietuva",4 700 €
Mercedes-Benz ML 270 W163 CDI,2004-04,Dyzelinas,371 100 km,Automatinė,2.7,120,"Radviliškis, Lietuva",4 700 €
Mazda CX-7,2010-05,Dyzelinas,190 000 km,Mechaninė,2.2,127,"Vilnius, Lietuva",4 700 €
Toyota RAV4 PUIKI BŪKLĖ,2006-09,Dyzelinas,290 386 km,Mechaninė,2.2,100,"Kaišiadorys, Lietuva",4 700 €
Audi A4 B8 TFSI Multitronic,2008-06,Benzinas,232 000 km,Automatinė,1.8,118,"Klaipėda, Lietuva",4 700 €
BMW 320 d Touring,2009-07,Dyzelinas,258 165 km,Mechaninė,2.0,130,"Marijampolė, Lietuva",4 700 €
Peugeot 508,2014-09,Dyzelinas,187 251 km,Automatinė,1.6,84,"Jonava, Lietuva",4 700 €
Ford Focus,2014-03,Benzinas,260 000 km,Mechaninė,1.6,,"Kaunas, Lietuva",4 700 €
Mercedes-Benz E 280,2007-09,Dyzelinas,314 143 km,Automatinė,3.0,140,"Klaipėda, Lietuva",4 700 €
BMW 520 E60 d Touring,2007-11,Dyzelinas,,Automatinė,2.0,130,"Kaunas, Lietuva",4 750 €
Opel Astra CDTI Sport,2012-04,Dyzelinas,163 000 km,Mechaninė,1.7,81,"Klaipėda, Lietuva",4 750 €
Mazda CX-7 T Energy,2007-08,Benzinas,216 516 km,Mechaninė,2.3,191,"Kretinga, Lietuva",4 750 €
Skoda Octavia TDI Ambition DSG,2012-06,Dyzelinas,257 112 km,Automatinė,1.6,77,"Kretinga, Lietuva",4 750 €
Hyundai Santa Fe CRDi Executive,2006-06,Dyzelinas,,Mechaninė,2.2,114,"Radviliškis, Lietuva",4 750 €
Mercedes-Benz C 200 W204,2009-02,Dyzelinas,272 000 km,Automatinė,2.2,100,"Kėdainiai, Lietuva",4 750 €
Toyota RAV4 D-4D Luna,2009-04,Dyzelinas,,Mechaninė,2.2,100,"Ukmergė, Lietuva",4 750 €
