Name,Made,Fuel Type,Mileage,Gearbox,Engine,Power,Location,Price
Toyota Land Cruiser TD Special,1998-09,Dyzelinas,410 000 km,Mechaninė,4.2,150,"Molėtai, Lietuva",15 000 €
Lexus IS 250,2014-01,Benzinas,116 000 km,Automatinė,2.5,153,"Vilnius, Lietuva",15 500 €
BMW X3,2018-10,Benzinas,112 630 km,Automatinė,2.0,185,"Klaipėda, Lietuva",15 500 €
Ford Kuga,2021-01,Benzinas,50 000 km,Automatinė,1.5,132,"Klaipėda, Lietuva",16 000 €
Mercedes-Benz E 400 Biturbo,2014-03,Benzinas,156 000 km,Automatinė,3.0,245,"Vilnius, Lietuva",16 500 €
MINI Countryman,2017-08,Benzinas,97 136 km,Automatinė,1.5,99,"Klaipėda, Lietuva",16 800 €
"Renault Master dCi 130 FWD (EV0Y, H",2019-07,Dyzelinas,147 846 km,Mechaninė,2.3,96,"Vilnius, Lietuva",17 900 €
Nissan Qashqai,2017-04,Dyzelinas,78 000 km,Mechaninė,1.6,96,"Rokiškis, Lietuva",18 000 €
Audi A6,2019-03,Benzinas,38 505 km,Automatinė,2.0,,"Vilnius, Lietuva",18 800 €
Subaru Impreza,2022-05,Benzinas,3 050 km,Automatinė,2.0,113,"Vilnius, Lietuva",19 900 €
BMW X4,2015-11,Benzinas,209 123 km,Automatinė,2.0,180,"Klaipėda, Lietuva",20 550 €
Toyota RAV4,2017-05,Benzinas/Elektra,,Automatinė,2.5,,"Marijampolė, Lietuva",20 700 €
Mercedes-Benz GLC 250,2016-01,Dyzelinas,270 000 km,Automatinė,2.1,150,"Šiauliai, Lietuva",22 500 €
Audi A8,2015-02,Dyzelinas,240 000 km,Automatinė,3.0,,"Telšiai, Lietuva",24 500 €
Mercedes-Benz GLA 180,2020-01,Benzinas,32 075 km,Mechaninė,1.6,90,"Vilnius, Lietuva",26 500 €
BMW X3,2018-10,Dyzelinas,96 700 km,Automatinė,2.0,140,"Vilnius, Lietuva",32 000 €
Audi A8,2017-12,Benzinas/Elektra,81 000 km,Automatinė,3.0,280,"Kaunas, Lietuva",65 000 €
BMW X4,2023-01,Dyzelinas,18 000 km,Automatinė,3.0,235,"Kaunas, Lietuva",66 000 €
Opel Astra CDTI,2003-03,Dyzelinas,,Mechaninė,1.7,59,"Kaunas, Lietuva",300 €
Daewoo Lanos,2000-07,Benzinas,,Mechaninė,1.4,55,"Kaunas, Lietuva",300 €
Volkswagen Golf,1991-01,Dyzelinas,,Mechaninė,1.6,44,"Šiauliai, Lietuva",380 €
Peugeot 307,2007-07,Dyzelinas,,Mechaninė,1.6,,"Pasvalys, Lietuva",400 €
Lancia Kappa LS JTD,1999-10,Dyzelinas,380 000 km,Mechaninė,2.4,100,"Marijampolė, Lietuva",499 €
Audi 80 B3 S,1987-01,Benzinas/Dujos,,Mechaninė,1.8,66,"Kaunas, Lietuva",500 €
Peugeot Boxer,2002-01,Dyzelinas,,Mechaninė,2.5,,"Biržai, Lietuva",500 €
Ford Focus Mk1,2002-01,Dyzelinas,180 000 km,Mechaninė,1.8,66,"Panevėžys, Lietuva",500 €
Audi A4,1998-09,Benzinas/Dujos,,Mechaninė,1.8,,"Vilnius, Lietuva",520 €
Mazda Premacy TD Exclusive,2003-08,Dyzelinas,236 390 km,Mechaninė,2.0,74,"Ignalina, Lietuva",550 €
Ford Fiesta,2005-02,Dyzelinas,,Mechaninė,1.8,50,"Telšiai, Lietuva",555 €
Audi 80,1993-09,Dyzelinas,,Mechaninė,1.9,66,"Ignalina, Lietuva",600 €
Mazda 6 I Comfort,2006-01,Benzinas,250 000 km,Mechaninė,1.8,88,"Šiauliai, Lietuva",600 €
Seat Leon,2005-08,Dyzelinas,139 000 km,Mechaninė,2.0,103,"Utena, Lietuva",600 €
Renault Clio II DCI,2004-06,Dyzelinas,285 000 km,Mechaninė,1.5,60,"Kaunas, Lietuva",645 €
Nissan Almera Tino,2002-06,Dyzelinas,,Mechaninė,2.2,94,"Gargždai, Lietuva",650 €
Mazda 323F III,1999-02,Benzinas/Dujos,,Mechaninė,1.5,65,"Kaunas, Lietuva",650 €
Seat Ibiza III TDI,2003-01,Dyzelinas,370 000 km,Mechaninė,1.9,96,"Kelmė, Lietuva",650 €
Volkswagen Golf,1999-01,Benzinas,,Mechaninė,2.0,85,"Ukmergė, Lietuva",650 €
Audi A3,2000-01,Benzinas/Dujos,,Mechaninė,1.8,,"Vilnius, Lietuva",700 €
Chrysler Pacifica,2004-02,Benzinas/Dujos,230 000 km,Automatinė,3.5,186,"Klaipėda, Lietuva",700 €
Volvo S80,2001-01,Benzinas,,Automatinė,2.9,144,"Kaunas, Lietuva",750 €
Opel Vectra,2003-01,Dyzelinas,,Mechaninė,2.0,74,"Kretinga, Lietuva",750 €
Renault Megane,2001-01,Dyzelinas,,Mechaninė,1.9,75,"Klaipėda, Lietuva",750 €
Volkswagen Golf,1998-12,Dyzelinas,321 009 km,Mechaninė,1.9,66,"Kaunas, Lietuva",750 €
Volkswagen Golf IV TDI,2001-01,Dyzelinas,403 000 km,Mechaninė,1.9,66,"Kaunas, Lietuva",750 €
Nissan Primera,2002-03,Benzinas,,Mechaninė,1.8,85,"Telšiai, Lietuva",750 €
Audi A3,1997-05,Dyzelinas,440 000 km,Mechaninė,1.9,66,"Ukmergė, Lietuva",750 €
Audi A4,1998-01,Benzinas,235 000 km,Mechaninė,1.6,74,"Kaunas, Lietuva",750 €
Volkswagen Passat B5,1999-05,Dyzelinas,362 513 km,Mechaninė,1.9,85,"Anykščiai, Lietuva",770 €
Honda Accord V6 EX aut,2005-10,Benzinas,,Automatinė,3.0,,"Šiauliai, Lietuva",800 €
Skoda Fabia,2001-07,Benzinas,,Mechaninė,14.0,55,"Šiauliai, Lietuva",800 €
Land Rover Freelander,2000-03,Dyzelinas,402 714 km,Mechaninė,2.0,82,"Visaginas, Lietuva",800 €
Opel Vectra,2004-03,Dyzelinas,,Automatinė,2.2,92,"Kaunas, Lietuva",800 €
Nissan Almera Tino,2002-11,Dyzelinas,,Mechaninė,2.2,84,"Šiauliai, Lietuva",840 €
Volkswagen Passat TD,1995-05,Dyzelinas,,Mechaninė,1.9,55,"Anykščiai, Lietuva",850 €
Volkswagen Passat TDI,1998-01,Dyzelinas,350 000 km,Mechaninė,1.9,81,"Vilnius, Lietuva",850 €
Opel Vectra T Sport,2005-06,Benzinas/Dujos,,Mechaninė,2.0,129,"Kretinga, Lietuva",850 €
Fiat Ulysse JTD Dynamic,2004-11,Dyzelinas,332 000 km,Mechaninė,2.2,94,"Vilnius, Lietuva",850 €
Ford Galaxy,2001-05,Benzinas/Dujos,450 000 km,Mechaninė,2.3,107,"Kaunas, Lietuva",850 €
Subaru Legacy,2004-01,Benzinas/Dujos,308 000 km,Mechaninė,2.5,121,"Alytus, Lietuva",850 € + mokesčiai
Ford Mondeo Ghia,2003-01,Dyzelinas,,Mechaninė,2.0,85,"Vilnius, Lietuva",850 €
Jeep Grand Cherokee,1996-04,Benzinas,,Automatinė,4.0,,"Kaunas, Lietuva",879 €
Volkswagen Golf IV,1998-06,Dyzelinas,,Mechaninė,1.9,81,"Visaginas, Lietuva",899 €
Ford Focus Mk1 Ghia,2003-07,Benzinas,175 000 km,Automatinė,2.0,96,"Kaunas, Lietuva",900 €
Citroen C3 i,2004-01,Benzinas,200 000 km,Mechaninė,1.4,55,"Vilnius, Lietuva",950 €
Ford Sierra,1987-02,Benzinas,260 000 km,Mechaninė,1.6,55,"Kaunas, Lietuva",950 €
Volvo V50 D,2006-01,Dyzelinas,350 000 km,Mechaninė,2.0,100,"Mažeikiai, Lietuva",950 €
Toyota Avensis,2001-06,Benzinas,245 000 km,Mechaninė,1.6,81,"Kaunas, Lietuva",950 €
Opel Meriva CDTI Cosmo,2024-01,Dyzelinas,301 577 km,Mechaninė,1.7,74,"Tauragė, Lietuva",950 €
Volkswagen Passat,1998-02,Benzinas,275 305 km,Mechaninė,1.8,92,"Telšiai, Lietuva",950 €
Opel Astra I Elegance aut,2001-05,Benzinas,198 000 km,Automatinė,1.6,74,"Varėna, Lietuva",950 €
Volkswagen Jetta A2 GL D,1988-03,Dyzelinas,379 180 km,Mechaninė,1.6,40,"Utena, Lietuva",970 €
Renault Laguna,2002-01,Dyzelinas,297 000 km,Mechaninė,1.9,88,"Kaunas, Lietuva",980 €
Fiat Punto,2003-10,Benzinas,,Mechaninė,1.2,44,"Raseiniai, Lietuva",999 €
Volkswagen Golf,2002-07,Dyzelinas,260 000 km,Mechaninė,1.9,74,"Kaunas, Lietuva",999 €
Audi A6 TDI Quattro,2001-01,Dyzelinas,,Mechaninė,2.5,132,"Visaginas, Lietuva",999 €
Volkswagen Polo IV,2005-02,Benzinas,176 000 km,Mechaninė,1.2,64,"Vilnius, Lietuva",999 €
Nissan Primera,2004-01,Dyzelinas,,Mechaninė,2.2,93,"Vilnius, Lietuva",999 €
Toyota Corolla Seria E12 D-4D Sol,2003-01,Dyzelinas,400 000 km,Mechaninė,2.0,81,"Birštonas, Lietuva",1 000 €
Chrysler Voyager,2004-01,Dyzelinas,,Automatinė,2.8,110,"Vilnius, Lietuva",1 000 €
Peugeot 407,2006-10,Dyzelinas,356 000 km,Mechaninė,2.0,100,"Prienai, Lietuva",1 000 € + mokesčiai
Audi A6 C5 TDI Quattro,1999-02,Dyzelinas,,Mechaninė,2.5,132,"Jurbarkas, Lietuva",1 000 €
BMW 530,2003-07,Dyzelinas,447 000 km,Mechaninė,2.9,142,"Kaunas, Lietuva",1 000 €
Audi A6,1995-10,Benzinas,,Mechaninė,2.0,,"Vilkaviškis, Lietuva",1 000 €
Ford C-MAX I TDCi 0€ Tarša,2004-03,Dyzelinas,290 100 km,Mechaninė,1.6,80,"Utena, Lietuva",1 000 €
Mitsubishi Colt,2005-01,Dyzelinas,,Mechaninė,1.5,,"Kaunas, Lietuva",1 000 €
Citroen C4 16v SX,2005-05,Benzinas,300 000 km,Mechaninė,1.6,81,"Vilnius, Lietuva",1 050 €
Volkswagen Sharan I TDI Basis,1998-08,Dyzelinas,298 590 km,Mechaninė,1.9,66,"Kaunas, Lietuva",1 050 €
Citroen C4 Grand Picasso,2007-04,Dyzelinas,330 000 km,Automatinė,1.6,80,"Vilnius, Lietuva",1 100 €
Ford Mondeo Mk4 Ambiente,2007-06,Benzinas,180 000 km,Mechaninė,2.0,107,"Alytus, Lietuva",1 150 €
Opel Vectra,2004-04,Dyzelinas,321 456 km,Mechaninė,2.2,92,"Jurbarkas, Lietuva",1 200 €
Ford Galaxy TDI,1999-01,Dyzelinas,,Mechaninė,1.9,81,"Kaunas, Lietuva",1 200 €
BMW 320 d Touring,2003-05,Dyzelinas,460 000 km,Automatinė,2.0,110,"Vilkaviškis, Lietuva",1 200 €
Opel Meriva I CDTI Cosmo,2004-12,Dyzelinas,277 594 km,Mechaninė,1.7,74,"Klaipėda, Lietuva",1 240 €
BMW 320 E46 d,2003-08,Dyzelinas,,Mechaninė,2.0,110,"Šiauliai, Lietuva",1 249 €
Kia Picanto I CRDi Comfort,2009-05,Dyzelinas,190 670 km,Mechaninė,1.1,55,"Vilkaviškis, Lietuva",1 250 €
Volvo V70 II D5,2002-09,Dyzelinas,336 698 km,Mechaninė,2.4,120,"Ignalina, Lietuva",1 250 €
Ford Fiesta Mk6 Zetec,2003-12,Benzinas,183 000 km,Mechaninė,1.4,59,"Klaipėda, Lietuva",1 299 €
Volkswagen Sharan,2000-11,Dyzelinas,,Mechaninė,1.9,85,"Vilnius, Lietuva",1 300 €
Audi A6,2003-06,Dyzelinas,3 350 000 km,Automatinė,2.5,132,"Kaunas, Lietuva",1 300 €
Volkswagen Passat TDI,2000-05,Dyzelinas,,Mechaninė,1.9,85,"Kretinga, Lietuva",1 300 €
Audi A3,2004-08,Benzinas,218 000 km,Mechaninė,1.6,75,"Panevėžys, Lietuva",1 350 €
BMW 320,2002-10,Dyzelinas,,Mechaninė,2.0,110,"Ukmergė, Lietuva",1 350 €
Peugeot 206,2003-05,Dyzelinas,,Mechaninė,2.0,66,"Alytus, Lietuva",1 350 €
Audi A3 8L TDI Ambiente,2002-11,Dyzelinas,351 000 km,Mechaninė,1.9,74,"Kaunas, Lietuva",1 390 €
Volkswagen Passat TDI Highline,2003-01,Dyzelinas,434 000 km,Mechaninė,1.9,96,"Šiauliai, Lietuva",1 450 €
Volvo S60,2002-02,Dyzelinas,411 000 km,Mechaninė,2.4,96,"Vilnius, Lietuva",1 450 €
Audi A3,2001-01,Benzinas,159 000 km,Mechaninė,1.6,75,"Vilnius, Lietuva",1 450 €
Audi A6 TDI,2001-09,Dyzelinas,336 543 km,Mechaninė,2.5,114,"Utena, Lietuva",1 450 €
Toyota Avensis,2003-09,Dyzelinas,,Mechaninė,2.0,,"Kretinga, Lietuva",1 450 €
Volvo V50,2005-11,Dyzelinas,289 000 km,Mechaninė,1.6,80,"Šiauliai, Lietuva",1 470 €
Audi A3,2005-10,Dyzelinas,,Mechaninė,2.0,103,"Šiauliai, Lietuva",1 499 €
Audi A3 8P FSI Ambition,2004-01,Benzinas,276 500 km,Mechaninė,2.0,110,"Kaunas, Lietuva",1 499 €
Volkswagen Golf,2004-06,Dyzelinas,,Mechaninė,2.0,103,"Klaipėda, Lietuva",1 500 €
Volvo V70 II D,2000-01,Dyzelinas,,Mechaninė,2.5,103,"Vilnius, Lietuva",1 500 €
BMW 525,2000-03,Dyzelinas,466 813 km,Mechaninė,2.5,120,"Klaipėda, Lietuva",1 500 €
BMW 318 E46 td Compact,2004-03,Dyzelinas,359 422 km,Mechaninė,2.0,85,"Radviliškis, Lietuva",1 500 €
Dodge Stratus,2001-05,Benzinas/Dujos,233 000 km,Mechaninė,3.0,147,"Kaunas, Lietuva",1 500 €
Skoda Octavia TDI Ambiente,2002-04,Dyzelinas,379 922 km,Mechaninė,1.9,66,"Panevėžys, Lietuva",1 550 €
Peugeot 407,2008-08,Dyzelinas,420 000 km,Automatinė,2.0,100,"Panevėžys, Lietuva",1 550 €
Ford Galaxy Mk1 TDI Ghia,1999-06,Dyzelinas,310 000 km,Mechaninė,1.9,66,"Kaunas, Lietuva",1 550 €
Peugeot 207 HDi Trendy,2007-12,Dyzelinas,,Mechaninė,1.4,50,"Pakruojis, Lietuva",1 550 €
Audi A4 TDI Quattro,2001-10,Dyzelinas,,Mechaninė,2.5,132,"Rietavas, Lietuva",1 550 €
Mercedes-Benz C 320 W203 T Avantgarde,2001-01,Benzinas,280 000 km,Automatinė,3.2,160,"Pasvalys, Lietuva",1 550 €
Volkswagen Touran,2004-08,Dyzelinas,,Mechaninė,2.0,,"Kaunas, Lietuva",1 590 €
Honda Civic VIII i-CTDi Comfort,2006-07,Dyzelinas,,Mechaninė,2.2,103,"Vilkaviškis, Lietuva",1 600 €
Opel Astra,2011-11,Dyzelinas,230 000 km,Mechaninė,1.7,81,"Vilnius, Lietuva",1 600 €
Nissan Almera Tino,2004-04,Dyzelinas,264 145 km,Mechaninė,2.0,82,"Kėdainiai, Lietuva",1 600 €
Subaru Impreza,2002-11,Benzinas,,Mechaninė,1.6,,"Tauragė, Lietuva",1 600 €
Peugeot 207,2007-01,Dyzelinas,227 000 km,Mechaninė,1.6,80,"Vilnius, Lietuva",1 600 €
Subaru OUTBACK,2004-07,Benzinas/Dujos,,Automatinė,2.5,121,"Vilnius, Lietuva",1 650 €
Volkswagen Touran TDI  Comfortline,2007-09,Dyzelinas,211 000 km,Mechaninė,1.9,77,"Kaišiadorys, Lietuva",1 650 €
Opel Vectra C CDTI Elegance,2006-08,Dyzelinas,305 460 km,Mechaninė,1.9,88,"Mažeikiai, Lietuva",1 650 €
Saab 9-3 II TiDS PF Linear Sport,2005-12,Dyzelinas,340 993 km,Mechaninė,1.9,110,"Vilnius, Lietuva",1 650 €
Toyota Aygo,2007-05,Benzinas,188 000 km,Mechaninė,1.0,50,"Šiauliai, Lietuva",1 650 €
Volkswagen Passat,2003-07,Dyzelinas,338 000 km,Automatinė,1.9,74,"Šiauliai, Lietuva",1 650 €
Audi A4 B6,2002-01,Dyzelinas,300 000 km,Mechaninė,2.5,132,"Šalčininkai, Lietuva",1 650 €
Honda FR-V i-CTDi Executive,2005-12,Dyzelinas,,Mechaninė,2.2,103,"Kaunas, Lietuva",1 690 €
Audi A6,2002-07,Dyzelinas,331 470 km,Mechaninė,2.5,114,"Vilnius, Lietuva",1 700 €
Volkswagen Transporter,1998-03,Dyzelinas,568 000 km,Mechaninė,1.9,50,"Panevėžys, Lietuva",1 700 €
Alfa Romeo 159 JTDM Distinctive,2007-02,Dyzelinas,237 600 km,Mechaninė,1.9,110,"Vilnius, Lietuva",1 750 €
Opel Zafira CDTI Sport aut,2006-01,Dyzelinas,342 000 km,Automatinė,1.9,88,"Šiauliai, Lietuva",1 750 €
Honda HR-V,2001-01,Benzinas/Dujos,2 666 656 km,Automatinė,1.6,77,"Šilutė, Lietuva",1 800 €
Opel Astra,2004-10,Dyzelinas,297 000 km,Mechaninė,1.7,74,"Vilnius, Lietuva",1 850 €
Renault Twingo,2008-07,Benzinas,128 360 km,Automatinė,1.2,56,"Klaipėda, Lietuva",1 850 €
Citroen C4 HDi Impress,2008-08,Dyzelinas,277 917 km,Mechaninė,1.6,80,"Šiauliai, Lietuva",1 850 €
Volvo V50,2006-06,Dyzelinas,,Mechaninė,1.6,80,"Vilnius, Lietuva",1 850 €
Nissan X-Trail,2003-12,Dyzelinas,373 000 km,Mechaninė,2.2,100,"Šakiai, Lietuva",1 850 €
Seat Leon TDI Spirit,2005-06,Dyzelinas,3 208 600 km,Mechaninė,1.9,81,"Kupiškis, Lietuva",1 880 €
Volkswagen Golf Plus,2005-08,Dyzelinas,296 000 km,Mechaninė,1.9,77,"Klaipėda, Lietuva",1 900 €
Toyota Corolla Verso,2007-02,Dyzelinas,,Mechaninė,2.2,130,"Panevėžys, Lietuva",1 900 €
Volkswagen Passat,2005-07,Benzinas,250 000 km,Mechaninė,2.0,110,"Šiauliai, Lietuva",1 900 €
Ford Focus Amber X,2009-12,Benzinas,206 109 km,Mechaninė,1.6,74,"Alytus, Lietuva",1 900 €
Nissan Note,2007-01,Dyzelinas,,Mechaninė,1.5,63,"Mažeikiai, Lietuva",1 950 €
Audi A4 TDI,2006-07,Dyzelinas,,Mechaninė,2.0,103,"Marijampolė, Lietuva",1 980 €
Mazda Xedos 9,1998-01,Benzinas,157 km,Mechaninė,2.0,105,"Klaipėda, Lietuva",1 999 € + mokesčiai
Nissan X-Trail dCi Sport,2005-05,Dyzelinas,316 254 km,Mechaninė,2.2,100,"Vilnius, Lietuva",2 050 €
Audi A3,2003-01,Dyzelinas,,Mechaninė,1.9,96,"Klaipėda, Lietuva",2 100 €
Volkswagen Polo,2006-03,Benzinas,209 000 km,Mechaninė,1.4,55,"Vilnius, Lietuva",2 350 €
Hyundai Coupe,2010-01,Benzinas,115 583 km,Mechaninė,2.0,105,"Vilnius, Lietuva",2 450 €
Volkswagen Touran,2004-12,Benzinas,245 000 km,Mechaninė,1.6,85,"Marijampolė, Lietuva",2 450 €
Opel Corsa,2010-09,Dyzelinas,230 000 km,Mechaninė,1.3,55,"Vilnius, Lietuva",2 500 €
Opel Astra,2005-09,Benzinas,178 000 km,Mechaninė,1.4,66,"Vilnius, Lietuva",2 550 €
Audi A6,2008-09,Dyzelinas,400 000 km,Automatinė,2.7,,"Vilnius, Lietuva",2 650 €
Seat Altea XL,2008-01,Dyzelinas,,Mechaninė,1.9,77,"Šiauliai, Lietuva",2 690 €
Volkswagen Touran TDI  Comfortline,2007-10,Dyzelinas,,Mechaninė,2.0,103,"Kaišiadorys, Lietuva",2 750 €
Chevrolet Captiva,2008-01,Dyzelinas,,Mechaninė,2.0,110,"Vilnius, Lietuva",2 800 €
BMW 123 E87,2009-11,Dyzelinas,,Mechaninė,2.0,150,"Radviliškis, Lietuva",2 850 €
Opel Corsa,2009-05,Benzinas,205 000 km,Mechaninė,1.4,66,"Vilnius, Lietuva",2 900 €
Opel Zafira Benzinas Vokietija,2008-02,Benzinas,211 521 km,Mechaninė,1.8,103,"Mažeikiai, Lietuva",2 950 €
Volkswagen Touran,2008-12,Benzinas,240 000 km,Mechaninė,1.4,118,"Marijampolė, Lietuva",2 990 €
Volkswagen Touran,2008-07,Dyzelinas,294 000 km,Mechaninė,2.0,80,"Kaunas, Lietuva",2 999 €
Volkswagen Golf,2008-09,Dyzelinas,,Mechaninė,1.9,77,"Šakiai, Lietuva",3 000 €
Renault Master,2006-08,Dyzelinas,,Mechaninė,2.5,84,"Šilalė, Lietuva",3 050 €
Skoda Yeti,2013-09,Dyzelinas,,Mechaninė,2.0,103,"Kaunas, Lietuva",3 200 €
Ford S-Max,2007-01,Dyzelinas,,Mechaninė,2.0,103,"Raseiniai, Lietuva",3 200 €
Volkswagen Touran I TDI Highline,2005-04,Dyzelinas,312 400 km,Mechaninė,2.0,103,"Kaunas, Lietuva",3 250 €
Ford S-Max,2009-09,Dyzelinas,,Mechaninė,2.0,103,"Kaunas, Lietuva",3 290 €
Volvo V70 III,2009-05,Dyzelinas,309 000 km,Mechaninė,2.0,100,"Kelmė, Lietuva",3 350 €
Volvo V70 III D3 R-Design,2010-01,Dyzelinas,450 km,Automatinė,2.4,120,"Kaunas, Lietuva",3 499 €
Subaru Tribeca,2011-06,Benzinas/Dujos,260 000 km,Automatinė,3.6,190,"Vilnius, Lietuva",3 500 €
Audi A4,2006-06,Benzinas,260 000 km,Mechaninė,1.6,75,"Vilnius, Lietuva",3 550 €
Ford Transit,2007-01,Dyzelinas,280 000 km,Mechaninė,2.2,63,"Šiauliai, Lietuva",3 600 €
Volkswagen Golf VI TSI Highline,2010-01,Benzinas,230 000 km,Mechaninė,1.4,118,"Šiauliai, Lietuva",3 700 €
Toyota Auris,2011-05,Benzinas,184 114 km,Mechaninė,1.3,73,"Vilnius, Lietuva",3 800 €
Mazda 6,2010-01,Benzinas,316 000 km,Mechaninė,2.0,114,"Jonava, Lietuva",3 800 €
Volkswagen Cross Touran Tdi,2008-05,Dyzelinas,325 600 km,Automatinė,1.9,77,"Vilnius, Lietuva",4 200 €
Opel Vivaro,2006-01,Dyzelinas,281 234 km,Mechaninė,2.5,99,"Klaipėda, Lietuva",4 390 €
Toyota Urban Cruiser D-4D Sol 4x4,2009-06,Dyzelinas,350 000 km,Mechaninė,1.4,68,"Šiauliai, Lietuva",4 450 €
Hyundai i30,2010-09,Benzinas/Dujos,219 000 km,Mechaninė,1.4,80,"Vilnius, Lietuva",4 450 €
BMW 520,2008-10,Dyzelinas,,Mechaninė,2.0,130,"Šiauliai, Lietuva",4 650 €
Volkswagen Passat CC,2009-10,Dyzelinas,,Mechaninė,2.0,103,"Šiauliai, Lietuva",4 900 €
BMW 730 E65/66 d,2008-02,Dyzelinas,341 000 km,Automatinė,3.0,170,"Marijampolė, Lietuva",5 100 €
Ford Kuga,2008-10,Dyzelinas,200 000 km,Mechaninė,2.0,,"Kelmė, Lietuva",5 450 €
Nissan Navara D FE Long,2012-06,Dyzelinas,212 000 km,Mechaninė,2.5,140,"Vilnius, Lietuva",5 600 €
Volkswagen Passat CC TDI,2008-12,Dyzelinas,294 667 km,Automatinė,2.0,125,"Kaunas, Lietuva",5 700 €
Audi A6 C6,2010-01,Dyzelinas,,Automatinė,3.0,176,"Šilutė, Lietuva",5 700 €
BMW 520,2009-07,Dyzelinas,283 189 km,Automatinė,2.0,130,"Kretinga, Lietuva",5 850 €
Volkswagen Polo Cross,2011-01,Dyzelinas,200 000 km,Mechaninė,1.6,77,"Vilnius, Lietuva",6 350 €
Skoda Octavia,2015-11,Dyzelinas,266 000 km,Automatinė,1.6,81,"Vilnius, Lietuva",6 500 €
Volkswagen Eos TSI DSG,2012-04,Benzinas,117 000 km,Automatinė,2.0,155,"Marijampolė, Lietuva",6 500 €
Audi A4,2012-05,Benzinas,260 000 km,Mechaninė,1.8,88,"Jurbarkas, Lietuva",6 666 €
Subaru XV,2013-02,Dyzelinas,161 049 km,Mechaninė,2.0,108,"Kretinga, Lietuva",7 999 €
Peugeot Boxer,2015-01,Dyzelinas,450 000 km,Mechaninė,2.2,96,"Šiauliai, Lietuva",8 450 €
Volkswagen Crafter 30 TDI,2011-04,Dyzelinas,600 000 km,Mechaninė,2.5,100,"Šiauliai, Lietuva",8 500 €
Ford Tourneo Connect Titanium,2015-12,Dyzelinas,246 870 km,Mechaninė,1.6,70,"Marijampolė, Lietuva",8 700 €
Volkswagen Passat 1.6tdi,2017-01,Dyzelinas,194 000 km,Automatinė,1.6,88,"Vilnius, Lietuva",8 800 € + mokesčiai
BMW X5 E70 d xDrive,2008-08,Dyzelinas,,Automatinė,3.0,173,"Vilkaviškis, Lietuva",9 200 €
Mercedes-Benz C 300 W204,2011-09,Benzinas/Dujos,187 891 km,Automatinė,3.0,170,"Kėdainiai, Lietuva",11 000 €
Audi A6,2018-06,Benzinas,,Automatinė,2.0,,"Vilnius, Lietuva",11 400 €
Audi A6 C7 TDI Multitronic,2012-09,Dyzelinas,350 000 km,Automatinė,2.0,130,"Druskininkai, Lietuva",11 500 €
Mercedes-Benz C 220,2015-07,Dyzelinas,260 000 km,Automatinė,2.0,125,"Kaunas, Lietuva",11 999 €
Audi A7 TDI Quattro S tronic,2011-01,Dyzelinas,275 000 km,Automatinė,3.0,180,"Kretinga, Lietuva",12 350 €
Mercedes-Benz Vito,2014-03,Dyzelinas,340 km,Automatinė,2.1,120,"Vilnius, Lietuva",12 800 €
BMW X6,2010-10,Dyzelinas,269 523 km,Automatinė,3.0,173,"Alytus, Lietuva",12 999 €
Mercedes-Benz E 220,2019-01,Dyzelinas,442 000 km,Automatinė,2.0,120,"Marijampolė, Lietuva",13 000 €
BMW X3 xDrive 28 i,2014-01,Benzinas,134 000 km,Automatinė,2.0,180,"Klaipėda, Lietuva",13 999 €
Toyota RAV4 Prestige MS,2013-04,Benzinas,240 000 km,Automatinė,2.0,111,"Klaipėda, Lietuva",14 000 €
Ford EcoSport,2019-04,Benzinas,79 000 km,Automatinė,1.0,,"Panevėžys, Lietuva",14 000 €
Volvo XC60,2017-03,Dyzelinas,281 000 km,Automatinė,2.0,110,"Vilnius, Lietuva",14 900 €
BMW 535 M-Sport,2014-09,Dyzelinas,266 033 km,Automatinė,3.0,230,"Marijampolė, Lietuva",14 950 €
BMW 530,2018-06,Benzinas,,Mechaninė,2.0,,"Vilnius, Lietuva",15 200 €
Audi Q5 Premium Plus,2017-04,Benzinas,137 548 km,Automatinė,2.0,165,"Vilnius, Lietuva",18 300 €
BMW 530,2017-11,Dyzelinas,306 000 km,Automatinė,3.0,195,"Kaunas, Lietuva",26 500 €
Opel Astra IV CDTI Cosmo,2012-04,Dyzelinas,234 000 km,Mechaninė,1.7,81,"Vilnius, Lietuva",31 000 €
Audi A4,1999-09,Dyzelinas,,Mechaninė,1.9,66,"Kaunas, Lietuva",300 €
Opel Astra DTI,2002-09,Dyzelinas,300 000 km,Mechaninė,2.0,74,"Alytus, Lietuva",350 €
Seat Alhambra TDi,1998-01,Dyzelinas,,Mechaninė,1.9,66,"Marijampolė, Lietuva",350 €
Nissan Almera Tino,2004-01,Dyzelinas,,Mechaninė,2.2,84,"Plungė, Lietuva",370 €
Opel Astra,2000-08,Dyzelinas,300 000 km,Automatinė,2.0,60,"Klaipėda, Lietuva",415 €
Opel Astra DTI,2004-02,Dyzelinas,,Mechaninė,1.7,55,"Mažeikiai, Lietuva",430 €
Peugeot 307,2004-01,Benzinas,,Mechaninė,1.6,,"Klaipėda, Lietuva",440 €
Honda Civic,2003-01,Dyzelinas,,Mechaninė,1.7,,"Vilnius, Lietuva",450 €
Ford Mondeo,2002-01,Dyzelinas,349 369 km,Mechaninė,2.0,85,"Druskininkai, Lietuva",450 €
